              4   3
      635.000
      1210.00
      2155.00
      2800.00
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.090000E-01    1.110000E-01    1.083333E-01
    1.050000E-01    1.089821E-01    1.109731E-01    1.083184E-01
    1.050000E-01    1.087952E-01    1.106928E-01    1.081627E-01
    1.050000E-01    1.086084E-01    1.104126E-01    1.080070E-01
    1.050000E-01    1.084215E-01    1.101323E-01    1.078513E-01
    1.048527E-01    1.082842E-01    1.100000E-01    1.077123E-01
    1.045737E-01    1.081912E-01    1.100000E-01    1.075883E-01
    1.042946E-01    1.080982E-01    1.100000E-01    1.074643E-01
    1.040156E-01    1.080052E-01    1.100000E-01    1.073403E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.080000E-01    1.100000E-01    1.073333E-01
    1.040000E-01    1.078527E-01    1.097790E-01    1.072106E-01
    1.040000E-01    1.076667E-01    1.095000E-01    1.070556E-01
    1.040000E-01    1.074807E-01    1.092210E-01    1.069006E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.040000E-01    1.073333E-01    1.090000E-01    1.067778E-01
    1.039844E-01    1.073281E-01    1.090000E-01    1.067708E-01
    1.037054E-01    1.072351E-01    1.090000E-01    1.066468E-01
    1.034264E-01    1.071421E-01    1.090000E-01    1.065228E-01
    1.031473E-01    1.070491E-01    1.090000E-01    1.063988E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
    1.030000E-01    1.070000E-01    1.090000E-01    1.063333E-01
